,customer_id,gender,location,partner,dependents,senior,Tenure,monthly_cost,package,survey,Class
0,G1606,Female,Lancashire,0,1,0,20.0,nan,2,0,Churn=No
1,F8889,Female,Essex,0,1,0,4.0,nan,1,5,Churn=No
2,C5068,Female,Essex,0,Unknown,1,9.0,nan,2,0,Churn=No
3,G9820,Male,West Yorkshire,1,1,1,9.0,nan,4,9,Churn=No
4,H7261,Male,Greater Manchester,0,1,0,6.0,nan,2,5,Churn=No
5,K5319,Male,Greater Manchester,1,0,0,1.0,nan,2,2,Churn=Yes
6,C4243,Female,West Midlands,1,1,0,8.0,nan,1,8,Churn=No
7,J7639,Female,Greater London,1,1,0,10.0,nan,4,9,Churn=No
8,I6974,Female,Greater Manchester,1,1,0,22.0,nan,4,8,Churn=No
9,I3011,Female,Merseyside,1,1,0,6.0,nan,4,7,Churn=No
10,D3337,Female,Hertfordshire,1,1,0,0.0,nan,4,6,Churn=Yes
11,G7931,Male,Greater London,0,Unknown,0,2.0,nan,2,1,Churn=Yes
12,C3676,Male,Devon,1,Unknown,0,8.0,nan,4,7,Churn=No
13,K5861,Female,Greater London,0,0,1,7.0,nan,2,6,Churn=Yes
14,I4460,Female,Lancashire,1,0,0,3.0,nan,3,1,Churn=Yes
15,D7262,Male,West Midlands,0,0,1,11.0,nan,2,No reply,Churn=Yes
16,D2571,Female,West Midlands,0,0,0,3.0,nan,1,1,Churn=Yes
17,E4331,Male,Lancashire,1,Unknown,0,2.0,nan,4,8,Churn=No
18,K5730,Female,North Yorkshire,0,1,0,23.0,nan,3,No reply,Churn=No
19,A4834,Female,Lancashire,0,1,0,17.0,nan,1,4,Churn=No
20,A3620,Male,Hampshire,1,Unknown,0,12.0,nan,1,3,Churn=No
21,B3904,Female,Greater London,0,0,1,16.0,nan,2,No reply,Churn=Yes
22,A5302,Male,Hertfordshire,1,1,0,18.0,nan,4,No reply,Churn=Yes
23,B5755,Male,Devon,1,0,0,6.0,nan,4,9,Churn=No
24,B5145,Female,Greater London,0,1,0,6.0,nan,1,6,Churn=No
25,B5981,Male,Merseyside,0,1,0,0.0,nan,1,3,Churn=Yes
26,A7331,Female,Greater London,0,0,1,17.0,nan,2,1,Churn=Yes
27,B9230,Female,Essex,0,1,0,9.0,nan,1,2,Churn=No
28,G8926,Male,West Yorkshire,0,Unknown,1,9.0,nan,2,7,Churn=No
29,K7157,Female,Kent,1,Unknown,0,24.0,nan,3,7,Churn=No
30,B1668,Male,Greater London,0,Unknown,0,0.0,nan,1,5,Churn=Yes
31,J4138,Female,West Midlands,1,Unknown,0,13.0,nan,4,6,Churn=No
32,K2893,Female,Hertfordshire,0,Unknown,0,6.0,nan,1,6,Churn=No
33,A5529,Male,Greater Manchester,0,0,0,11.0,nan,1,4,Churn=No
34,D5241,Male,Greater London,1,1,0,7.0,nan,3,1,Churn=Yes
35,H7731,Male,Essex,1,Unknown,0,9.0,nan,2,6,Churn=No
36,J8663,Female,Greater London,1,1,0,11.0,nan,2,7,Churn=No
37,K9741,Male,Greater Manchester,1,1,0,20.0,nan,4,6,Churn=No
38,I1140,Female,West Midlands,1,1,0,8.0,nan,4,6,Churn=No
39,G6616,Male,Hampshire,1,1,1,9.0,nan,2,No reply,Churn=No
40,K1876,Male,Greater London,1,1,0,20.0,nan,4,8,Churn=No
41,C7512,Female,Essex,1,1,0,13.0,nan,4,6,Churn=No
42,C4675,Female,Greater Manchester,1,1,0,15.0,nan,3,5,Churn=No
43,I8838,Male,Hampshire,1,Unknown,0,5.0,nan,3,No reply,Churn=No
44,C8040,Female,Greater Manchester,0,0,1,10.0,nan,2,2,Churn=Yes
